COD_MUN,MUNICIPIO,SIGLA_UF,IDSC-BR_2024,Classificação_2024
1100015,Alta Floresta D'Oeste ,RO,"39,13",4844
1100023,Ariquemes ,RO,"42,7",3928
1100031,Cabixi ,RO,"40,41",4551
1100049,Cacoal ,RO,"47,66",2459
1100056,Cerejeiras ,RO,"46,82",2709
1100064,Colorado do Oeste ,RO,"38,4",4977
1100072,Corumbiara ,RO,"39,7",4706
1100080,Costa Marques ,RO,"36,7",5233
1100098,Espigão D'Oeste ,RO,"40,46",4537
1100106,Guajará-Mirim ,RO,"38,75",4916
1100114,Jaru ,RO,"41,59",4236
1100122,Ji-Paraná ,RO,"45,67",3078
1100130,Machadinho D'Oeste ,RO,"37,35",5157
1100148,Nova Brasilândia D'Oeste ,RO,"38,77",4911
1100155,Ouro Preto do Oeste ,RO,"40,69",4472
1100189,Pimenta Bueno ,RO,"44,48",3426
1100205,Porto Velho ,RO,"37,1",5194
1100254,Presidente Médici ,RO,"44,91",3301
1100262,Rio Crespo ,RO,"41,72",4195
1100288,Rolim de Moura ,RO,"44,04",3548
1100296,Santa Luzia D'Oeste ,RO,"39,39",4780
1100304,Vilhena ,RO,"43,06",3831
1100320,São Miguel do Guaporé ,RO,"35,47",5351
1100338,Nova Mamoré ,RO,"36,65",5243
1100346,Alvorada D'Oeste ,RO,"47,1",2629
1100379,Alto Alegre dos Parecis ,RO,"38,92",4881
1100403,Alto Paraíso ,RO,"37,9",5076
1100452,Buritis ,RO,"39,59",4736
1100502,Novo Horizonte do Oeste ,RO,"41,59",4239
1100601,Cacaulândia ,RO,"47,76",2425
1100700,Campo Novo de Rondônia ,RO,"37,7",5113
1100809,Candeias do Jamari ,RO,"37,85",5085
1100908,Castanheiras ,RO,"41,96",4127
1100924,Chupinguaia ,RO,"42,38",3998
1100940,Cujubim ,RO,"36,73",5231
1101005,Governador Jorge Teixeira ,RO,"37,28",5168
1101104,Itapuã do Oeste ,RO,"41,81",4177
1101203,Ministro Andreazza ,RO,"47,78",2415
1101302,Mirante da Serra ,RO,"37,92",5073
1101401,Monte Negro ,RO,"35,67",5325
